dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
55,"00:06:03,853 --> 00:06:06,452
","- Yes, basically I'm a happy person.
- So am I.

",0.122564,0.816332,0.005916,0.043281,0.070406,0.018514,0.050874,0.665539,0.221146,0.00067,0.0,0.920133,0.0
56,"00:06:06,493 --> 00:06:08,513
","And I don't see that there's anything wrong with that.

",0.519381,0.040023,0.164126,0.120126,0.261237,0.714017,0.609232,0.908647,0.360017,0.292341,0.0,0.822231,0.0
57,"00:06:08,637 --> 00:06:11,952
","Of course not. You're too busy being happy.
You ever think about death?

",0.583518,0.18974,0.086408,0.053253,0.138308,0.161738,0.041189,0.883173,0.649399,0.027082,0.0,0.0,0.994026
58,"00:06:12,040 --> 00:06:13,247
","- Yes.
- Sure you do.

",0.207576,0.621321,0.08408,0.096077,0.075798,0.139831,0.234384,0.70919,0.509589,0.851663,0.0,0.0,0.997153
59,"00:06:13,289 --> 00:06:15,965
","A fleeting thought that drifts
in and out of the transom of your mind.

",0.270844,0.105036,0.489812,0.129477,0.090305,0.959539,0.281803,0.348433,0.332953,0.243748,0.747663,0.827288,0.0
60,"00:06:15,991 --> 00:06:17,741
","I spend hours,
I spend days (to think about death).

",0.463166,0.338317,0.039128,0.123539,0.090775,2.3e-05,0.055758,0.765115,0.0812,0.004257,0.952933,0.0,0.0
61,"00:06:17,873 --> 00:06:19,651
","And you think this makes you a better person?

",0.382414,0.41284,0.036977,0.157329,0.067793,0.516405,0.533226,0.953543,0.836281,0.37939,0.724236,0.0,0.0
62,"00:06:19,849 --> 00:06:23,055
","Look, when the shit comes down,
I'm gonna be prepared, and you're not.

",0.374995,0.014702,0.335782,0.292936,0.121915,0.428828,0.081705,0.390015,0.527904,0.022708,0.0,0.0,0.0
63,"00:06:23,081 --> 00:06:23,873
","That's all I'm saying.

",0.523939,0.232262,0.107336,0.099759,0.109835,0.517405,0.30521,0.570258,0.480734,0.175683,0.0,0.984352,0.0
64,"00:06:23,899 --> 00:06:27,214
","In the meantime, you're gonna ruin
your whole life waiting for it.

",0.410334,0.157972,0.085821,0.251309,0.188876,0.066141,0.201449,0.438677,0.376128,0.347781,0.0,0.0,0.0
65,"00:06:35,385 --> 00:06:37,649
","- You're wrong.
- I'm not wrong.

",0.30537,0.361447,0.039753,0.130852,0.243,0.171703,0.125341,0.591502,0.421826,0.087672,0.0,0.0,0.0
66,"00:06:37,675 --> 00:06:39,979
","He wants her to leave.
That's why he puts her on the plane.

",0.500831,0.033469,0.260184,0.051668,0.272219,0.162768,0.104235,0.639508,0.316382,0.378668,0.0,0.0,0.0
67,"00:06:40,005 --> 00:06:43,249
","- I don't think she wants to stay.
- Of course she wants to stay.

",0.51717,0.141401,0.131902,0.154035,0.131258,0.067247,0.180485,0.766902,0.1903,0.117334,0.802429,0.0,0.986725
68,"00:06:43,334 --> 00:06:46,083
","Wouldn't you rather be with
Humphrey Bogart than the other guy?

",0.550482,0.032805,0.220677,0.102439,0.221674,0.776787,0.006669,0.504741,0.678471,0.425449,0.0,0.0,0.0
69,"00:06:46,242 --> 00:06:49,489
","I don't want to spend
the rest of my life in Casablanca,

",0.473014,0.193537,0.1438,0.11655,0.135508,0.013614,0.077776,0.526867,0.028897,0.046768,0.080162,0.0,0.0
70,"00:06:49,525 --> 00:06:51,572
","married to a man who runs a bar.

",0.138921,0.604594,0.096926,0.059272,0.181959,0.234553,0.245873,0.536104,0.588409,0.621181,0.0,0.0,0.0
71,"00:06:51,739 --> 00:06:54,079
","That probably sounds very snobbish to you,
but I don't.

",0.637901,0.054628,0.222953,0.103705,0.066753,0.450322,0.036043,0.966505,0.013025,0.1284,0.0,0.0,0.0
72,"00:06:54,237 --> 00:06:57,894
","- You'd rather be in a passionless marriage
- And be the first lady of Czechoslovakia.

",0.132102,0.550427,0.265904,0.037876,0.122064,0.957675,0.180024,0.801151,0.47714,0.350895,0.0,0.0,0.0
73,"00:06:57,920 --> 00:07:00,743
","... than live with a man you've had
the greatest sex of your life with,

",0.148783,0.663404,0.075259,0.028766,0.138032,0.565658,0.191388,0.599616,0.703299,0.873986,0.0,0.0,0.0
74,"00:07:00,769 --> 00:07:03,485
","just because he owns a bar
and that is all he does?

",0.235195,0.307324,0.138632,0.165438,0.271236,0.877025,0.275534,0.49193,0.266626,0.806015,0.802429,0.0,0.0
75,"00:07:03,778 --> 00:07:04,605
","Yes.

",0.0,0.0,0.0,0.0,0.0,0.306457,0.274519,0.5996,0.543499,0.332275,0.0,0.0,0.0
