dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
58,"00:05:41,550 --> 00:05:45,679
","May I present Captain Renault, police
prefect of Casablanca. Major Strasser.

",0.084503,0.352837,0.418795,0.082945,0.122688,0.710544,0.112467,0.496114,0.472821,0.268209,0.0,0.972662,0.0
59,"00:05:45,846 --> 00:05:47,890
","Unoccupied France welcomes you
to Casablanca.

",0.078183,0.371582,0.392715,0.160922,0.035185,0.021309,0.165016,0.65374,0.590558,0.280793,0.0,0.0,0.0
60,"00:05:48,223 --> 00:05:50,059
","Thank you, captain.
It's good to be here.

",0.014626,0.878488,0.089609,0.049192,0.020351,0.600398,0.417938,0.877708,0.58698,0.912227,0.0,0.0,0.0
61,"00:05:50,267 --> 00:05:52,895
","Major Strasser, my aide,
Lieutenant Casselle.

",0.293749,0.117161,0.340461,0.309307,0.025397,0.11651,0.081623,0.564684,0.510375,0.000211,0.0,0.0,0.0
62,"00:05:53,062 --> 00:05:55,522
","Captain Tonnelli.
The Italian service at your command.

",0.147603,0.457752,0.022801,0.359539,0.086764,0.592664,0.261479,0.577168,0.680213,0.860023,0.178218,0.0,0.952663
63,"00:05:55,689 --> 00:05:56,899
","That is kind of you.

",0.22887,0.499605,0.103372,0.127223,0.120705,0.972444,0.350958,0.644429,0.565125,0.434527,0.0,0.984352,0.0
64,"00:05:57,066 --> 00:06:00,444
","[SPEAKING IN ITALIAN]

",0.299552,0.382774,0.127636,0.189613,0.045357,0.352626,0.27443,0.599527,0.545777,0.261505,0.0,0.0,0.0
65,"00:06:03,364 --> 00:06:06,200
","You may find the climate
of Casablanca a trifle warm.

",0.040764,0.795216,0.107449,0.041027,0.093684,0.850267,0.192962,0.768855,0.373908,0.395877,0.891222,0.978371,0.0
66,"00:06:06,367 --> 00:06:10,037
","We Germans must get used to all
climates, from Russia to the Sahara.

",0.382366,0.09545,0.3577,0.064094,0.142778,0.049133,0.463059,0.483263,0.300187,0.701176,0.0,0.0,0.984417
67,"00:06:10,371 --> 00:06:12,331
","Perhaps you
weren't referring to weather.

",0.1706,0.139099,0.229465,0.135529,0.398877,0.321022,0.109073,0.731809,0.469122,0.412079,0.952933,0.994704,0.0
68,"00:06:12,498 --> 00:06:13,582
","What else?

",0.244607,0.46857,0.108584,0.163203,0.102571,0.289777,0.275778,0.602923,0.528811,0.262615,0.920855,0.0,0.0
69,"00:06:13,749 --> 00:06:15,751
","The murder of the couriers.
What has been done?

",0.388626,0.03324,0.113038,0.236803,0.381512,0.893956,0.300124,0.48985,0.281499,0.529532,0.0,0.0,0.0
70,"00:06:15,918 --> 00:06:19,713
","My men are rounding up
twice the usual number of suspects.

",0.351918,0.156611,0.10062,0.387763,0.08936,0.717613,0.317335,0.360803,0.851488,0.642531,0.829888,0.990508,0.0
71,"00:06:19,880 --> 00:06:21,673
","But we know already
who the murderer is.

",0.255862,0.070548,0.159363,0.064124,0.514076,0.737189,0.301668,0.548993,0.150781,0.500945,0.908592,0.0,0.0
72,"00:06:21,840 --> 00:06:22,925
","Good. Is he in custody?

",0.132605,0.695137,0.057018,0.065856,0.122124,0.62734,0.142926,0.620166,0.479288,0.292315,0.0,0.0,0.0
73,"00:06:23,133 --> 00:06:26,053
","No hurry. Tonight he'll be at Rick's.
Everybody comes to Rick's.

",0.472068,0.258417,0.140719,0.156691,0.055371,0.060647,0.231955,0.730456,0.746015,0.174139,0.0,0.0,0.0
74,"00:06:26,220 --> 00:06:29,723
","I've already heard about this café.
And also about Mr. Rick himself.

",0.366006,0.038117,0.131021,0.308601,0.262506,0.436593,0.004169,0.477723,0.136668,0.004126,0.0,0.966403,0.0
75,"00:06:30,974 --> 00:06:34,395
","[BAND PLAYING]

",0.530393,0.286086,0.09749,0.073862,0.057117,0.303688,0.274253,0.599346,0.543049,0.284771,0.0,0.0,0.0
76,"00:06:35,187 --> 00:06:36,647
","[MAN SINGING ""IT HAD TO BE YOU""]

",0.37289,0.35865,0.053356,0.212418,0.068471,0.06801,0.388149,0.958202,0.550059,0.654405,0.842108,0.0,0.0
77,"00:06:36,814 --> 00:06:39,191
","<i>It had to be you
It had to be you</i>

",0.39673,0.261786,0.110959,0.233279,0.05145,0.253612,0.500579,0.922341,0.145971,0.745413,0.970663,0.0,0.0
78,"00:06:40,234 --> 00:06:45,197
","<i>I wandered around and finally found
The somebody who</i>

",0.074728,0.85306,0.031135,0.04261,0.050682,0.660876,0.151069,0.744408,0.037332,0.032437,0.924432,0.995939,0.0
79,"00:06:45,364 --> 00:06:50,452
","<i>Could make me be true
Could make me be blue</i>

",0.434642,0.47085,0.062421,0.054863,0.015721,0.561643,0.259313,0.856761,0.320827,0.113496,0.0,0.987926,0.0
80,"00:06:50,619 --> 00:06:55,624
","<i>And even be glad just to be sad
Thinking of you</i>

",0.736577,0.253154,0.010873,0.003738,0.036327,0.319687,0.050886,0.939898,0.009624,3.1e-05,0.77494,0.993284,0.0
81,"00:06:55,791 --> 00:07:00,879
","<i>Some others I've seen
Might never be mean</i>

",0.434365,0.477665,0.065181,0.059863,0.039164,0.489999,0.08581,0.744952,0.023982,0.003423,0.857009,0.99277,0.0
82,"00:07:01,046 --> 00:07:06,093
","<i>Might never be cross, or try to be boss
But they wouldn't do</i>

",0.575118,0.106859,0.111308,0.281427,0.054251,0.261485,0.211087,0.738253,0.001698,0.293214,0.920556,0.989892,0.0
83,"00:07:06,260 --> 00:07:08,804
","<i>For nobody else gave me a thrill</i>

",0.425161,0.254222,0.253901,0.127513,0.038191,0.450001,0.146252,0.698316,0.318909,0.10272,0.459587,0.0,0.0
84,"00:07:08,971 --> 00:07:11,723
","<i>Honey, with all your faults
I love you still</i>

",0.478711,0.471705,0.019611,0.032967,0.024597,0.677428,0.328808,0.801944,0.674442,0.572868,0.0,0.972662,0.0
