dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident,emotionmean
79,"00:17:33,844 --> 00:17:37,769
",#NAME?,0.356848,0.347444,0.010252,0.035698,0.085673,0.017219,0.131272,0.64363,0.642894,0.39911,0,0,0,
80,"00:17:42,311 --> 00:17:43,938
","""Good-bye, boys.""
",0.558285,0.146744,0.026582,0.068809,0.128385,0.142965,0.275538,0.599395,0.564587,0.323885,0,0,0,
81,"00:17:44,939 --> 00:17:46,316
","Jail? Gee.
",0.244968,0.009568,0.201117,0.373014,0.386599,0.217274,0.274471,0.599489,0.543278,0.322247,0.579367,0,0,
82,"00:17:47,191 --> 00:17:49,068
","""You hoodlums don't own the streets.""
",0.229576,0.005607,0.368878,0.404915,0.194148,0.351061,0.246078,0.247142,0.348652,0.585367,0,0,0,
83,"00:17:49,151 --> 00:17:51,574
","Go play in the park.
Keep off of the grass.
",0.267203,0.212684,0.204586,0.17894,0.071549,0.115752,0.087053,0.302858,0.145541,0.599568,0,0,0,
84,"00:17:51,654 --> 00:17:53,656
","- Get out of the house!
- Keep off the block.
",0.232105,0.037123,0.321526,0.430382,0.124906,0.265761,0.268223,0.261264,0.337536,0.734364,0.883404,0,0,
85,"00:17:53,739 --> 00:17:55,491
","- Get outta here.
- Keep off the world!
",0.173742,0.355571,0.126626,0.139144,0.094167,0.146278,0.250978,0.462274,0.404583,0.392059,0,0,0,
86,"00:17:55,575 --> 00:17:57,919
","A gang that don't own
the street is nothin'!
",0.130436,0.028114,0.470341,0.201058,0.342797,0.798429,0.045045,0.20211,0.494703,0.814676,0,0,0,
87,"00:17:57,994 --> 00:17:59,496
","We do own it!
",0.265254,0.217721,0.158064,0.177193,0.128116,0.12283,0.352153,0.576495,0.391985,0.62802,0,0,0,
88,"00:18:01,080 --> 00:18:02,957
","Come on, Jets, round out!
",0.211849,0.392706,0.06794,0.137046,0.055957,0.300912,0.294526,0.60499,0.602315,0.416912,0,0,0,
89,"00:18:03,499 --> 00:18:07,549
","- Not you, Anybodys! Beat it!
- Riff, you gotta let me in the gang!
",0.092378,0.15222,0.319414,0.121823,0.345137,0.857283,0.379919,0.562545,0.857908,0.885357,0.066924,0.959646,0,
90,"00:18:07,628 --> 00:18:11,303
","Didn't you just see me? I was smash!
I'm a killer, I wanna fight.
",0.356624,0.002218,0.230361,0.435401,0.172267,0.06716,0.053162,0.564066,0.048718,0.027679,0,0.952443,0,
91,"00:18:11,382 --> 00:18:13,601
","How else she gonna get
a guy to touch her?
",0.216399,0.080802,0.393711,0.203356,0.18667,0.125619,0.027325,0.784544,0.472615,0.284892,0,0,0,
92,"00:18:13,676 --> 00:18:16,930
","- You dirty rat!
- Come on, the road, little girl! The road!
",0.032357,0.013142,0.272326,0.099797,0.738284,0.282354,0.039041,0.486161,0.745393,0.713923,0,0,0,
93,"00:18:17,054 --> 00:18:18,306
","Beat it!
",0.2503,0.188136,0.065351,0.189037,0.293493,0.271553,0.27602,0.593647,0.513446,0.64517,0,0,0,
94,"00:18:20,182 --> 00:18:22,401
","- Beat it!
- Okay, come on.
",0.238194,0.264024,0.075938,0.153803,0.19623,0.093758,0.221514,0.683518,0.504168,0.716914,0,0,0,
95,"00:18:28,983 --> 00:18:30,530
","Okay, now listen!
",0.053029,0.635957,0.046934,0.137983,0.013377,0.379755,0.27795,0.606863,0.535891,0.310996,0,0,0,
96,"00:18:30,610 --> 00:18:33,910
","Now, we fought hard for this turf,
and we ain't just gonna give it up.
",0.50569,0.002685,0.267454,0.294434,0.088467,0.163977,0.749453,0.414501,0.049242,0.523367,0,0.944845,0,
97,"00:18:33,988 --> 00:18:35,911
","The Emeralds claimed
it, we shot 'em out.
",0.444724,0.003945,0.18153,0.241322,0.317694,0.596407,0.601292,0.495758,0.256566,0.944571,0,0,0,
98,"00:18:35,990 --> 00:18:38,994
","The Hawks, remember? They tried to take
it away, we knocked them down the cellar.
",0.298545,0.016976,0.565831,0.10325,0.131512,0.091484,0.458413,0.420596,0.064639,0.892657,0.405753,0.944845,0,
99,"00:18:39,076 --> 00:18:42,205
","- But these PR's are different.
- They multiply. Like cockroaches.
",0.076775,0.03944,0.101411,0.178486,0.726326,0.883451,0.165921,0.506369,0.428816,0.167401,0.324507,0.920133,0,
100,"00:18:42,288 --> 00:18:44,256
","- Shut the door!
- They're eatin' all the food.
",0.181313,0.071163,0.135872,0.5141,0.216551,0.508974,0.161363,0.492666,0.507546,0.487242,0,0,0.986725,
101,"00:18:44,332 --> 00:18:46,960
","- Breathin' all the air.
- Help! I'm drowning in tamale.
",0.453343,0.01113,0.540392,0.036688,0.024636,0.531166,0.03433,0.416164,0.372963,0.00746,0,0,0.983213,
102,"00:18:47,043 --> 00:18:49,592
","And you heard what that Lt. Schrank said...
",0.169332,0.459228,0.071296,0.09741,0.062419,0.820136,0.792129,0.939851,0.865113,0.861204,0,0,0,
103,"00:18:49,670 --> 00:18:53,015
","we gotta make nice with
them Puerto Ricans or else.
",0.167136,0.552576,0.071502,0.032062,0.014906,0.410899,0.439557,0.726401,0.807215,0.835581,0.596122,0.978371,0,
104,"00:18:53,090 --> 00:18:55,309
","We gotta let 'em move in
right under our noses...
",0.144764,0.059335,0.412711,0.160178,0.347399,0.162,0.276209,0.600815,0.516983,0.593723,0,0,0,
105,"00:18:55,384 --> 00:18:57,478
","- and take it all away from us or else.
- No!
",0.38449,0.025093,0.401237,0.241659,0.065429,0.537497,0.575121,0.618541,0.234303,0.352135,0.596122,0,0,
106,"00:18:57,553 --> 00:18:59,396
","You're damn right, no!
",0.271127,0.012461,0.305656,0.389703,0.218565,0.129587,0.331479,0.547732,0.600696,0.422338,0,0,0,
107,"00:18:59,722 --> 00:19:03,852
","So what're we gonna do, buddy boys?
I'll tell you what we're gonna do.
",0.232444,0.211533,0.289698,0.118508,0.081989,0.002564,0.404074,0.796573,0.645284,0.477356,0.437819,0,0.993781,
108,"00:19:03,934 --> 00:19:05,561
","We're gonna speed back!
",0.279613,0.243387,0.222984,0.104011,0.05274,0.268008,0.320777,0.481592,0.486951,0.545873,0,0,0,
109,"00:19:05,728 --> 00:19:09,107
","We're gonna move like lightnin', and
we're gonna clean them Sharks up...
",0.22807,0.210989,0.214871,0.121336,0.178116,0.063569,0.240323,0.401667,0.364777,0.288191,0,0.865388,0,
110,"00:19:09,190 --> 00:19:10,407
","once and for all.
",0.321531,0.172181,0.172706,0.171227,0.131477,0.570298,0.501161,0.605077,0.526535,0.739942,0,0,0.97759,
111,"00:19:10,483 --> 00:19:13,282
","So they ain't never gonna
set foot on our turf again!
",0.177883,0.143459,0.256057,0.233563,0.225213,0.007136,0.209085,0.084344,0.066718,0.376971,0,0.781347,0,
112,"00:19:14,278 --> 00:19:17,953
","We're gonna do it in one all-out fight.
",0.285757,0.054038,0.45558,0.195293,0.09487,0.169551,0.680301,0.415866,0.259853,0.488322,0,0,0,
113,"00:19:18,074 --> 00:19:21,203
","- A rumble! Chop, chop!
- Now cool, Action Boy.
",0.102669,0.37604,0.091094,0.168656,0.170601,0.638883,0.108518,0.554134,0.514318,0.310803,0,0,0.952663,
114,"00:19:21,410 --> 00:19:26,132
","The Sharks want a piece of this world, too.
And they're real down boys.
",0.3412,0.100542,0.072769,0.12932,0.402358,0.718219,0.035289,0.144007,0.084963,0.013211,0,0,0.890603,
115,"00:19:26,582 --> 00:19:28,459
","They might ask for blades...
",0.240471,0.099045,0.325827,0.302109,0.088295,0.692219,0.279524,0.60399,0.354495,0.4299,0.920855,0.88939,0,
116,"00:19:28,918 --> 00:19:30,841
",#NAME?,0.15878,0.015495,0.303642,0.240302,0.481931,0.238519,0.129792,0.603912,0.443194,0.211474,0,0,0,
117,"00:19:32,755 --> 00:19:36,180
","I ain't finalizin' and
sayin' they will, Baby John.
",0.118462,0.310939,0.151743,0.159451,0.184157,0.700621,0.305482,0.715718,0.15412,0.32036,0,0,0,
118,"00:19:36,258 --> 00:19:40,479
","I'm just sayin' that they might,
and we gotta be prepared.
",0.248319,0.128019,0.412761,0.136819,0.062904,0.867641,0.542073,0.817291,0.112115,0.345323,0,0.995939,0,
119,"00:19:41,681 --> 00:19:43,524
","Now, what's your mood, Jets?
",0.453098,0.118679,0.066322,0.322981,0.028441,0.099777,0.254842,0.569351,0.742949,0.26808,0,0,0,
120,"00:19:43,599 --> 00:19:46,273
","- I say go, go!
- I say mix!
",0.43686,0.098308,0.176595,0.183464,0.127271,0.041472,0.133914,0.602167,0.229548,0.210003,0,0,0,
121,"00:19:46,352 --> 00:19:47,649
","- I say sock 'em!
- Tear them!
",0.698743,0.019665,0.090539,0.132352,0.14964,0.308829,0.134511,0.625526,0.362811,0.257652,0,0,0,
122,"00:19:47,728 --> 00:19:52,404
","- Yeah, but if they say blades or guns...
- I say let's just forget the whole thing.
",0.25555,0.007812,0.265545,0.140206,0.518691,0.543057,0.325434,0.439603,0.000545,0.778256,0.280846,0.987926,0,
123,"00:19:52,483 --> 00:19:54,702
",#NAME?,0.551517,0.023217,0.046498,0.161969,0.341945,0.315918,0.16644,0.613139,0.448179,0.545077,0,0,0,
124,"00:19:55,903 --> 00:20:00,124
","I say this turf is small,
but it's all we got.
",0.442959,0.147545,0.106956,0.190906,0.077723,0.743045,0.878185,0.531957,0.003742,0.495615,0,0,0.975399,
125,"00:20:01,200 --> 00:20:04,454
","I wanna hold it like we
always held it, with skin!
",0.425134,0.094244,0.13466,0.287896,0.098982,0.554821,0.394984,0.647644,0.068091,0.135738,0,0,0.922197,
126,"00:20:06,080 --> 00:20:08,833
","But if they say blades, I say blades.
",0.466979,0.095062,0.108078,0.164817,0.196228,0.541761,0.227273,0.571483,0.173937,0.185283,0.762356,0,0,
127,"00:20:09,417 --> 00:20:12,011
","If they say guns, I say guns.
",0.186624,0.009422,0.183892,0.155342,0.641766,0.558565,0.296161,0.567442,0.407019,0.592548,0.801827,0,0,
128,"00:20:12,878 --> 00:20:15,802
","I say I want the Jets
to be the number one!
",0.558371,0.030138,0.187012,0.170795,0.152244,0.427995,0.211393,0.610901,0.003938,0.740624,0,0,0,
129,"00:20:15,923 --> 00:20:19,848
","- To sail! To hold the sky!
- Then rev us off! Voom va-voom!
",0.099703,0.529049,0.068123,0.101753,0.075578,0.030672,0.11583,0.436602,0.323392,0.424472,0.51064,0,0,
130,"00:20:21,721 --> 00:20:22,893
","Okay, cats, we rumble!
",0.247679,0.054379,0.410962,0.187161,0.203629,0.496656,0.291489,0.619237,0.512203,0.352046,0,0,0,
131,"00:20:23,389 --> 00:20:24,641
","Now...
",0,0,0,0,0,0.296095,0.27592,0.598651,0.527366,0.258403,0,0,0,
132,"00:20:25,182 --> 00:20:27,025
","protocality calls for a war council...
",0.300723,0.005355,0.123112,0.216449,0.548919,0.317566,0.437759,0.654795,0.761949,0.687119,0,0,0,
133,"00:20:27,101 --> 00:20:29,604
","between us and the Sharks
to set the whole thing up.
",0.235342,0.247732,0.131261,0.180368,0.138023,0.44985,0.277957,0.25259,0.178377,0.471402,0,0,0,
134,"00:20:29,687 --> 00:20:32,531
","So I will personally give
the bad news to Bernardo.
",0.488494,0.009343,0.201648,0.171668,0.294484,0.014216,0.054273,0.894344,0.179431,0.035358,0,0,0,
135,"00:20:32,606 --> 00:20:34,825
","- You gotta take a lieutenant with you.
- That's me.
",0.393142,0.05346,0.420258,0.111963,0.073478,0.707883,0.850049,0.931649,0.977676,0.810823,0,0,0,
136,"00:20:34,900 --> 00:20:36,573
","- That's Tony.
- Who needs Tony?
",0.093148,0.184084,0.406314,0.236072,0.05727,0.300163,0.123398,0.608112,0.470963,0.239563,0,0,0,
137,"00:20:36,652 --> 00:20:38,199
","We need Tony!
",0.092035,0.190015,0.428499,0.207572,0.051036,0.240372,0.281213,0.613312,0.528128,0.277651,0,0,0,
138,"00:20:38,529 --> 00:20:41,032
","He's got a rep that's bigger
than the whole West Side!
",0.590265,0.101354,0.085589,0.080147,0.12072,0.384814,0.038101,0.201552,0.307553,0.724816,0.243971,0,0,
139,"00:20:41,115 --> 00:20:44,210
","- He don't belong no more.
- Now, cut it, Action!
",0.333423,0.032445,0.203111,0.301501,0.290412,0.392097,0.231948,0.31822,0.040842,0.334414,0,0,0,
140,"00:20:44,452 --> 00:20:47,547
",#NAME?,0.080485,0.316168,0.293346,0.161346,0.05523,0.718595,0.212089,0.487308,0.606329,0.383934,0.596122,0,0.932568,
141,"00:20:47,663 --> 00:20:51,133
","- How come he takes a lousy, stinkin' job?
- Youth Board corrupted him.
",0.213169,0.020857,0.191839,0.373202,0.400652,0.058859,0.076422,0.678052,0.69744,0.450056,0,0,0,
