dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
40,"00:04:34,190 --> 00:04:36,233
","♪ Hearts full of passion ♪

",0.066026,0.722463,0.114718,0.151365,0.011279,0.357748,0.278769,0.596606,0.51825,0.18499,0.0,0.0,0.0
41,"00:04:36,818 --> 00:04:38,944
","♪ Jealousy and hate ♪

",0.254523,0.028377,0.222095,0.585574,0.035764,0.441525,0.272786,0.594626,0.545294,0.117758,0.0,0.0,0.0
42,"00:04:39,904 --> 00:04:44,616
","♪ Woman needs man
And man must have his mate ♪

",0.441069,0.039981,0.06446,0.11828,0.434667,0.180158,0.08304,0.622852,0.398728,0.06211,0.0,0.0,0.942754
43,"00:04:45,243 --> 00:04:49,288
","♪ That no one can deny ♪

",0.738976,0.048793,0.069806,0.184005,0.078087,0.367698,0.381966,0.409524,0.104324,0.507815,0.0,0.0,0.0
44,"00:04:51,207 --> 00:04:53,583
","♪ It's still the same old story ♪

",0.722922,0.02669,0.052444,0.131016,0.161826,0.599589,0.139945,0.460141,0.153732,0.246927,0.0,0.0,0.0
45,"00:04:53,876 --> 00:04:56,545
","♪ A fight for love and glory ♪

",0.253583,0.58271,0.126352,0.043292,0.037233,0.549824,0.511708,0.790277,0.686394,0.68075,0.0,0.0,0.0
46,"00:04:57,088 --> 00:04:59,548
","♪ A case of do or die ♪

",0.629174,0.050507,0.263464,0.05498,0.086299,0.804467,0.322784,0.578387,0.39189,0.440605,0.620279,0.923658,0.0
47,"00:05:03,094 --> 00:05:07,681
","♪ The world
Will always welcome lovers ♪

",0.342854,0.676132,0.025374,0.013448,0.014191,0.458462,0.209222,0.607787,0.397211,0.66211,0.0,0.0,0.992758
48,"00:05:09,183 --> 00:05:15,105
","♪ As time goes by ♪♪

",0.502131,0.227838,0.168846,0.125789,0.033545,0.273065,0.352086,0.630888,0.60112,0.7771,0.0,0.0,0.0
49,"00:05:29,454 --> 00:05:32,164
","The tall one with red hair
is your cousin Irene.

",0.211075,0.469133,0.255343,0.021362,0.114091,0.834762,0.125024,0.727277,0.962323,0.654723,0.0,0.0,0.0
50,"00:05:32,332 --> 00:05:34,583
","You'll recognise her by the
disappointed look on her face.

",0.655074,0.023293,0.069232,0.122519,0.206727,0.135292,0.070904,0.69652,0.409551,0.105345,0.988725,0.0,0.0
51,"00:05:34,751 --> 00:05:37,544
","Married to Harold, who
ran off with the secretary.

",0.096275,0.66281,0.10595,0.103014,0.095077,0.129309,0.279861,0.743309,0.765926,0.606558,0.0,0.0,0.0
